M_h,R_h,V_h,M_g,color_g,SFR_g
13.653268004773967,-5.714802462005412,1.4314320210520344,11.630213595895551,1.1264762878417969,7.049646717789299
13.28164446150828,-5.838683140969664,1.751034742206472,11.370837752717582,1.127206802368164,7.297193384670046
13.3034140519626,-5.831418184790769,2.2761567236299105,11.220836302260942,1.104196548461914,6.785408215599712
13.185764111657678,-5.870649056753879,1.4670403692650897,11.512474883176345,1.1867141723632812,6.642110824132467
13.200742597667015,-5.8656509417427625,2.303854908309924,11.332069768095684,1.1236438751220703,6.391901560659256
13.198213396264991,-5.866509324665849,1.7477237840781163,11.217344510967312,1.0996170043945312,8.245732602011259
13.064547877582992,-5.911046569057715,1.6054388689523416,11.154687779238401,1.1186866760253906,8.055881637714316
13.038278743926911,-5.9198050489227745,2.0109265337653466,10.88787704253876,1.0957775115966797,7.187313222252125
13.013846556008072,-5.9279672523296965,1.9285797853666657,11.159292413164064,1.1208686828613281,7.942760731559982
12.740799914375794,-6.018966220105342,2.119950664651722,10.847468188489739,1.054269790649414,9.628799066746938
12.739795171854583,-6.019284415400752,1.8776367413658577,10.964490270396958,1.1745338439941406,7.791268685148508
12.679357988271823,-6.039454867226019,1.963685243769749,10.90025994269658,1.111154556274414,6.841982065110612
12.737264384380607,-6.020139852754609,2.310182407487136,10.915301706629075,1.1450252532958984,6.313752091925054
12.734151690098544,-6.021177839478543,2.0599905011738775,10.992539485024967,1.1365985870361328,6.4548781095974075
12.65250862562833,-6.048407054304375,1.4621597959597232,10.916220334895945,1.1245994567871094,6.663448703109235
12.610007732165368,-6.0625634484147515,2.3471352775365864,10.662282661826193,1.0983085632324219,7.2293945126751735
12.147487874893717,-6.216738065265803,2.274751036764126,10.388068674467863,1.1105365753173828,7.715809572149133
12.617213390844656,-6.060167447760986,1.7878163925368287,10.565455710206741,1.11297607421875,7.0635560735662715
12.594917720817659,-6.067593213596493,1.7758649306204002,10.544321084789146,1.1228504180908203,6.470169582363895
12.419399061531088,-6.126102928989843,2.2350403317684813,10.38734661003655,1.0973243713378906,6.518192457608051
12.528817400338804,-6.0896121686256075,2.1774382975881417,10.724966189384517,1.1034584045410156,6.8976149078259725
12.167145562664045,-6.210182567772981,2.4204302004912335,10.326853375706264,0.9924964904785156,8.84913169885425
12.480430583603608,-6.105762345674767,2.4191345081772218,10.853769693927745,1.1530399322509766,6.547433689723846
12.231660020365899,-6.188684189604488,1.6890141914715993,10.28635185999544,1.1340217590332031,7.033371095774325
12.175331200002722,-6.207445581331555,2.1275355250281343,10.458660867382704,1.11572265625,6.837557305675584
12.164545768566636,-6.211054258364064,2.1859186864889484,10.322182815774351,0.9637470245361328,9.662115319844984
12.26674102037732,-6.17699147028559,2.000777225091717,10.707821103050518,1.0426025390625,8.659223178650766
12.434219746768004,-6.121161201171496,1.938739026300735,10.603313972628516,1.0837211608886719,7.025346099655197
12.405100860313308,-6.130869663801983,2.1167398142222598,10.574579409607797,1.1497116088867188,6.9656417011658025
12.192384780730036,-6.201778780148177,2.3004284615249975,10.602250511002474,0.5778255462646484,10.718828065833952
12.021128019868748,-6.258850216167012,2.1776177312731315,9.933228634538319,0.5100078582763672,10.457755811854703
11.688310856179529,-6.369788083424244,1.9766024730425682,9.86669780540377,0.4043006896972656,9.764423861632261
